# Tau(ps)_opm,3D_MSD_Einstein(angstrom^2)_opm
0.000000000000000000e+00,0.000000000000000000e+00
1.249980000000000047e+02,6.366570236454806491e+02
2.499960000000000093e+02,9.533625511341630272e+02
3.749940000000000282e+02,1.225471601058184433e+03
4.999920000000000186e+02,1.454578193075588388e+03
6.249900000000000091e+02,1.667873593063878161e+03
7.499880000000000564e+02,1.892746272311262146e+03
8.749859999999999900e+02,2.017828595469772836e+03
9.999840000000000373e+02,2.147507053243092741e+03
1.124981999999999971e+03,2.247736991801744807e+03
1.249980000000000018e+03,2.369243959773084498e+03
1.374978000000000065e+03,2.439660280563734432e+03
1.499976000000000113e+03,2.478479744267978731e+03
1.624974000000000160e+03,2.551842878761105112e+03
1.749971999999999980e+03,2.686151264695364262e+03
1.874970000000000027e+03,2.801378301795593870e+03
1.999968000000000075e+03,2.796245378808586338e+03
2.124965999999999894e+03,2.867719644028693892e+03
2.249963999999999942e+03,2.922983417989016289e+03
2.374961999999999989e+03,2.996572105121338609e+03
2.499960000000000036e+03,3.074045124991967441e+03
2.624958000000000084e+03,3.128324159372246868e+03
2.749956000000000131e+03,3.230224436237143891e+03
2.874954000000000178e+03,3.320694073257550826e+03
2.999952000000000226e+03,3.402736635999921873e+03
3.124950000000000273e+03,3.466556465131895038e+03
3.249948000000000320e+03,3.536262459962493267e+03
3.374945999999999913e+03,3.601906423448125679e+03
3.499943999999999960e+03,3.700226124746820915e+03
3.624942000000000007e+03,3.746936026528675484e+03
3.749940000000000055e+03,3.835759193366926866e+03
3.874938000000000102e+03,3.922681639721722604e+03
3.999936000000000149e+03,4.113168468600098095e+03
4.124934000000000196e+03,4.302695337665619263e+03
4.249931999999999789e+03,4.473570365044622122e+03
4.374930000000000291e+03,4.627220064710969382e+03
4.499927999999999884e+03,4.794008889925475160e+03
4.624926000000000386e+03,4.956195764796828371e+03
4.749923999999999978e+03,5.083482598031037014e+03
4.874922000000000480e+03,5.172290558819499893e+03
4.999920000000000073e+03,5.317295874664579060e+03
5.124918000000000575e+03,5.395094001740585554e+03
5.249916000000000167e+03,5.507005270177436614e+03
5.374913999999999760e+03,5.577413470310261800e+03
5.499912000000000262e+03,5.680626717578372336e+03
5.624909999999999854e+03,5.805452195031955853e+03
5.749908000000000357e+03,5.895865664858232776e+03
5.874905999999999949e+03,5.936784959844148034e+03
5.999904000000000451e+03,5.999201951168564847e+03
6.124902000000000044e+03,6.079811345695735326e+03
6.249900000000000546e+03,6.193744821592164044e+03
6.374898000000000138e+03,6.284568551229020159e+03
6.499896000000000640e+03,6.393744920169363468e+03
6.624894000000000233e+03,6.544606909470329811e+03
6.749891999999999825e+03,6.634209805981501631e+03
6.874890000000000327e+03,6.727407993345106661e+03
6.999887999999999920e+03,6.834047706667749480e+03
7.124886000000000422e+03,6.940571541045232152e+03
7.249884000000000015e+03,7.020544440708007642e+03
7.374882000000000517e+03,7.091976302683049653e+03
7.499880000000000109e+03,7.152975033664117291e+03
7.624878000000000611e+03,7.228028013026311783e+03
7.749876000000000204e+03,7.268050570170024002e+03
7.874874000000000706e+03,7.307566287875204580e+03
7.999872000000000298e+03,7.353777484348306643e+03
8.124869999999999891e+03,7.389633124690558361e+03
8.249868000000000393e+03,7.435921903039852623e+03
8.374865999999999985e+03,7.503784601059271154e+03
8.499863999999999578e+03,7.551611125877234372e+03
8.624862000000000990e+03,7.632763065563841337e+03
8.749860000000000582e+03,7.700651745125316666e+03
8.874858000000000175e+03,7.727679023810755098e+03
8.999855999999999767e+03,7.823025857703424663e+03
9.124854000000001179e+03,7.927339851722498679e+03
9.249852000000000771e+03,7.995577915730018503e+03
9.374850000000000364e+03,8.021569810190711905e+03
9.499847999999999956e+03,8.049036278296759519e+03
9.624845999999999549e+03,8.020956126584027515e+03
9.749844000000000960e+03,7.989889841138288830e+03
9.874842000000000553e+03,7.940753590069171878e+03
9.999840000000000146e+03,7.897990578262544659e+03
1.012483799999999974e+04,7.980052293963390184e+03
1.024983600000000115e+04,7.890646242088331746e+03
1.037483400000000074e+04,7.881926126650445440e+03
1.049983200000000033e+04,7.900322591435406139e+03
1.062482999999999993e+04,7.879271804940233778e+03
1.074982799999999952e+04,7.877530801475281805e+03
1.087482600000000093e+04,7.935488621380678524e+03
1.099982400000000052e+04,8.002788327876223775e+03
1.112482200000000012e+04,8.034571637672879660e+03
1.124981999999999971e+04,8.015865795060779419e+03
1.137481800000000112e+04,8.024095370736558834e+03
1.149981600000000071e+04,8.030262001310596133e+03
1.162481400000000031e+04,8.011014968989024965e+03
1.174981199999999990e+04,7.984612592668425350e+03
1.187481000000000131e+04,7.960217829057584822e+03
1.199980800000000090e+04,7.894557754641528845e+03
1.212480600000000049e+04,7.944283256472193898e+03
1.224980400000000009e+04,7.991053638378817595e+03
1.237480199999999968e+04,7.992335794842576433e+03
1.249980000000000109e+04,8.009232459671932702e+03
1.262479800000000068e+04,8.031988404090854601e+03
1.274979600000000028e+04,7.996005829547118083e+03
1.287479399999999987e+04,8.059138647890730681e+03
1.299979200000000128e+04,8.059102801518530214e+03
1.312479000000000087e+04,8.085272339919394653e+03
1.324978800000000047e+04,8.087438254134369345e+03
1.337478600000000006e+04,8.090392052678579603e+03
1.349978399999999965e+04,8.136490755843185980e+03
1.362478200000000106e+04,8.112942346058908697e+03
1.374978000000000065e+04,8.157574667250998573e+03
1.387477800000000025e+04,8.196265549982790617e+03
1.399977599999999984e+04,8.199341888213308266e+03
1.412477400000000125e+04,8.241656091639328224e+03
1.424977200000000084e+04,8.253141043126432123e+03
1.437477000000000044e+04,8.207646376384216637e+03
1.449976800000000003e+04,8.201355061883745293e+03
1.462476600000000144e+04,8.202843798713221986e+03
1.474976400000000103e+04,8.196366100468285367e+03
1.487476200000000063e+04,8.277700801053935720e+03
1.499976000000000022e+04,8.331160500994925314e+03
1.512475799999999981e+04,8.391640286529598598e+03
1.524975600000000122e+04,8.446288948085673837e+03
1.537475400000000081e+04,8.462177777101485844e+03
1.549975200000000041e+04,8.459653356417617033e+03
1.562475000000000000e+04,8.436699375317799422e+03
1.574974800000000141e+04,8.432438260469218221e+03
1.587474600000000100e+04,8.390462145803721796e+03
1.599974400000000060e+04,8.453646191687785176e+03
1.612474200000000019e+04,8.543703109935820976e+03
1.624973999999999978e+04,8.640685965746635702e+03
1.637473800000000119e+04,8.707746703593984421e+03
1.649973600000000079e+04,8.848591508532910666e+03
1.662473400000000038e+04,8.936214940214471426e+03
1.674973199999999997e+04,9.026542186917920844e+03
1.687472999999999956e+04,9.078369025208005041e+03
1.699972799999999916e+04,9.104623868631730147e+03
1.712472600000000239e+04,9.116574867982175419e+03
1.724972400000000198e+04,9.198771428371783259e+03
1.737472200000000157e+04,9.286438693544003399e+03
1.749972000000000116e+04,9.393982474981234191e+03
1.762471800000000076e+04,9.563467397092637839e+03
1.774971600000000035e+04,9.679627826642827131e+03
1.787471399999999994e+04,9.779996038479985145e+03
1.799971199999999953e+04,9.902993311700356571e+03
1.812470999999999913e+04,9.919187976544966659e+03
1.824970800000000236e+04,9.971420796362703186e+03
1.837470600000000195e+04,9.985275322412720925e+03
1.849970400000000154e+04,9.983917417413416842e+03
1.862470200000000114e+04,1.004905391102785870e+04
1.874970000000000073e+04,1.007222244200461864e+04
1.887469800000000032e+04,1.005603546786545849e+04
1.899969599999999991e+04,1.011382058854491515e+04
1.912469399999999951e+04,1.014227388907775821e+04
1.924969199999999910e+04,1.023516035700860630e+04
1.937469000000000233e+04,1.026031759411100393e+04
1.949968800000000192e+04,1.032015386650567962e+04
1.962468600000000151e+04,1.035548112139649311e+04
1.974968400000000111e+04,1.041249161706008817e+04
1.987468200000000070e+04,1.047218611518772377e+04
1.999968000000000029e+04,1.056697117852857446e+04
2.012467799999999988e+04,1.062994594679553484e+04
2.024967599999999948e+04,1.071201324826418204e+04
2.037467399999999907e+04,1.084673412910903244e+04
2.049967200000000230e+04,1.092551728155853561e+04
2.062467000000000189e+04,1.101138405776221953e+04
2.074966800000000148e+04,1.102603621600295810e+04
2.087466600000000108e+04,1.103265985267542783e+04
2.099966400000000067e+04,1.112546480165270987e+04
2.112466200000000026e+04,1.115245185035651957e+04
2.124965999999999985e+04,1.119916706077587696e+04
2.137465799999999945e+04,1.129907875266269730e+04
2.149965599999999904e+04,1.139544978189604808e+04
2.162465400000000227e+04,1.148080955634436395e+04
2.174965200000000186e+04,1.145855787498655809e+04
2.187465000000000146e+04,1.157279037241901278e+04
2.199964800000000105e+04,1.162687380933912391e+04
2.212464600000000064e+04,1.170105098547726993e+04
2.224964400000000023e+04,1.178753038839497822e+04
2.237464199999999983e+04,1.187946055623965367e+04
2.249963999999999942e+04,1.191699147891798748e+04
2.262463800000000265e+04,1.188811926811225749e+04
2.274963600000000224e+04,1.190633431102829672e+04
2.287463400000000183e+04,1.189565057964422158e+04
2.299963200000000143e+04,1.192844285851921086e+04
2.312463000000000102e+04,1.203779616389385592e+04
2.324962800000000061e+04,1.203256157869903655e+04
2.337462600000000020e+04,1.201781955987319088e+04
2.349962399999999980e+04,1.192218511064996710e+04
2.362462199999999939e+04,1.181497989038621017e+04
2.374962000000000262e+04,1.170054835203830771e+04
2.387461800000000221e+04,1.163772022676665074e+04
2.399961600000000180e+04,1.152920553637177363e+04
2.412461400000000140e+04,1.139318449932638759e+04
2.424961200000000099e+04,1.127867144523751267e+04
2.437461000000000058e+04,1.112657997218436503e+04
2.449960800000000017e+04,1.112020926561440319e+04
2.462460599999999977e+04,1.105205318401885233e+04
2.474960399999999936e+04,1.100161670731563572e+04
2.487460200000000259e+04,1.102677885593024803e+04
2.499960000000000218e+04,1.102474004716072523e+04
2.512459800000000178e+04,1.101096033496722885e+04
2.524959600000000137e+04,1.091248158065859570e+04
2.537459400000000096e+04,1.085568613183623529e+04
2.549959200000000055e+04,1.083768415244785319e+04
2.562459000000000015e+04,1.077173701309759781e+04
2.574958799999999974e+04,1.071420160473359647e+04
2.587458599999999933e+04,1.064492810578752506e+04
2.599958400000000256e+04,1.056687809334716439e+04
2.612458200000000215e+04,1.045849643833262598e+04
2.624958000000000175e+04,1.035235578501610144e+04
2.637457800000000134e+04,1.021503902737748285e+04
2.649957600000000093e+04,1.013163866991677060e+04
2.662457400000000052e+04,1.003258278622850230e+04
2.674957200000000012e+04,9.911693685201709741e+03
2.687456999999999971e+04,9.855722349341689551e+03
2.699956799999999930e+04,9.819774291602590893e+03
2.712456600000000253e+04,9.741695125087211636e+03
2.724956400000000212e+04,9.704871593003459566e+03
2.737456200000000172e+04,9.744788651872238916e+03
2.749956000000000131e+04,9.763095668501118780e+03
2.762455800000000090e+04,9.687033110883128757e+03
2.774955600000000049e+04,9.719460145514800388e+03
2.787455400000000009e+04,9.671233502835380932e+03
2.799955199999999968e+04,9.678262702481055385e+03
2.812454999999999927e+04,9.714854552029786646e+03
2.824954800000000250e+04,9.781998919035480867e+03
2.837454600000000210e+04,9.891973445751506006e+03
2.849954400000000169e+04,1.000673966325724723e+04
2.862454200000000128e+04,1.007738312643142490e+04
2.874954000000000087e+04,1.004363510490237786e+04
2.887453800000000047e+04,1.012796554686128366e+04
2.899953600000000006e+04,1.010573686805179750e+04
2.912453399999999965e+04,1.010853992449071120e+04
2.924953200000000288e+04,1.007661591209469952e+04
2.937453000000000247e+04,1.009454522676139641e+04
2.949952800000000207e+04,1.008860055738843039e+04
